id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
216,,article,138062014,Engineering Structures,0,1.5.4,169.0,29,24,,3,,,,27,1668165720,1667569773,1672531200,9,0,9,0,904
217,,article,138034135,Journal of Food Composition & Analysis,0,1.5.4,0.5,1,,,1,,,,1,1667551416,1667551428,1672531200,12,0,12,0,907
218,,article,137873632,Experimental Neurology,0,1.5.4,11.95,22,,,18,,,,18,1675986421,1667170492,1672531200,17,0,17,0,908
219,,article,139666891,Computer Communications,0,1.5.4,0.25,6,,,1,,,,1,1672158603,1670164215,1672531200,36,0,36,0,916
220,,article,138164391,Engineering Applications of Artificial Intelligence,0,1.5.4,3.85,7,,,6,,,,6,1705749112,1667862759,1672531200,6,0,6,0,917
221,,article,137607346,Nuclear Instruments & Methods in Physics Research Section A,0,1.5.4,0.5,1,,,1,,,,1,1666572255,1666572267,1672531200,4,0,4,0,918
222,,article,138021112,The Lancet Regional Health - Americas,0,1.5.4,45.83,80,,,62,,,,63,1702386822,1667513684,1672531200,46,0,46,0,921
223,,article,137666874,Acta Materialia,0,1.5.4,2.35,3,,,3,,,,3,1666757930,1666710083,1672531200,21,0,22,0,923
224,,article,138001535,CATENA,0,1.5.4,5.9,10,,,10,,,,10,1667552223,1667481668,1672531200,9,0,9,0,925
225,,article,138136293,Nutrition,0,1.5.4,8.4,18,,,14,,,,14,1685774629,1667791670,1672531200,15,0,15,0,928
226,,article,138090099,Environmental Monitoring and Assessment,0,1.5.4,0.5,2,,,2,,,,2,1667621410,1667620384,1667433600,26,0,26,0,938
227,,chapter,144984865,,0,1.5.4,2.85,5,,,3,,,,3,1695094933,1680660431,1672531200,3,0,3,0,941
228,,article,141464717,Mathematical Biosciences and Engineering,0,1.5.4,0.25,1,,,1,,,,1,1674048152,1674048165,1640995200,8,0,8,0,944
229,,article,137916770,Information Processing & Management,0,1.5.4,4.35,6,,,6,,,,6,1678217333,1667290395,1672531200,29,0,29,0,950
230,,article,142733158,Chemosphere,0,1.5.4,0.25,1,,,1,,,,1,1676889763,1676889774,1672531200,23,0,23,0,951
231,,article,137958076,Journal of Systems & Software,0,1.5.4,3.05,4,,,4,,,,4,1671186284,1667389508,1672531200,111,0,111,0,952
232,,article,138566004,Environmental Research,0,1.5.4,10.5,3,1,,2,,,,3,1672145316,1668694441,1672531200,29,0,29,0,953
233,,article,137683631,Drug Discovery Today,0,1.5.4,4.2,6,,,6,,,,6,1692555756,1666746909,1672531200,24,0,24,0,956
234,,article,141463034,Mathematical Biosciences and Engineering,0,1.5.4,0.25,1,,,1,,,,1,1674043843,1674043856,1640995200,13,0,13,0,958
235,,article,137898609,Sustainable Cities and Society,0,1.5.4,5.2,10,,,9,,,,9,1667415192,1667237494,1672531200,31,0,31,0,964
236,,article,137927141,Environmental Pollution,0,1.5.4,1.0,1,,,1,,,,1,1667311052,1667311064,1672531200,11,0,11,0,965
237,,article,138029527,Medical Image Analysis,0,1.5.4,2.1,3,,,3,,,,3,1682276542,1667538590,1672531200,24,0,24,0,968
238,,article,137885455,Neural Networks,0,1.5.4,0.25,1,,,1,,,,1,1667207479,1667207490,1672531200,9,0,9,0,971
239,,article,137784347,Journal of Enzyme Inhibition & Medicinal Chemistry,0,1.5.4,0.25,1,,,1,,,,1,1666954906,1666954919,1666915200,20,0,20,0,972
240,,article,158412688,Medical Image Analysis,0,1.5.4,5.08,1,,,,,,,1,1705407737,1705407788,1672531200,0,0,0,0,975
241,,article,138108956,Simulation Modelling Practice & Theory,0,1.5.4,1.0,1,,,1,,,,1,1667689205,1667689218,1672531200,40,0,40,0,1021
242,,article,137777382,Engineering Structures,0,1.5.4,1.0,1,,,1,,,,1,1666937673,1666937685,1672531200,21,0,21,0,1023
243,,article,137561171,Journal of Environmental Management,0,1.5.4,4.8,6,,,6,,,,6,1668098793,1666428715,1672531200,22,0,22,0,1024
244,,article,137156686,Journal of Molecular Graphics & Modelling,0,1.5.4,1.25,2,,,2,,,,2,1665734637,1665664215,1672531200,29,0,29,0,1049
245,,article,137561082,International Review of Economics & Finance,0,1.5.4,0.25,1,,,1,,,,1,1666428288,1666428299,1672531200,18,0,18,0,1057
246,,article,140281116,Journal of Food Composition & Analysis,0,1.5.4,0.5,3,,,1,,,,1,1671993593,1671327180,1672531200,20,0,20,0,1110
247,,article,137586653,Computers & Security,0,1.5.4,2.85,6,,,5,,,,5,1673023725,1666509686,1672531200,139,0,139,0,1124
248,,chapter,144963952,,0,1.5.4,0.25,1,,,1,,,,1,1664251436,1680651896,1672531200,15,0,15,0,1142
249,,article,137797857,Journal of Business Research,0,1.5.4,2.0,4,,,4,,,,4,1705931053,1666971218,1672531200,162,0,162,0,1147
250,,chapter,144965159,,0,1.5.4,1.0,1,,,1,,,,1,1667197284,1680652213,1672531200,5,0,5,0,1162
251,,chapter,144965150,,0,1.5.4,1.75,5,,,3,,,,3,1695052775,1680652213,1672531200,3,0,3,0,1193
252,,chapter,144989212,,0,1.5.4,0.25,1,,,,1,,,1,1668388450,1680662156,1672531200,2,0,2,0,1201
253,,chapter,144965712,,0,1.5.4,0.5,1,,,1,,,,1,1664337309,1680652375,1672531200,2,0,2,0,1211
254,,article,137455358,Life Science Alliance,0,1.5.4,1.0,5,,,4,,,,4,1666901761,1666248504,1666137600,3,0,3,0,1222
255,,article,133802450,Biological Psychiatry,0,1.5.4,29.0,8,4,,4,,,,8,1699072414,1659958594,1672531200,49,0,49,0,1223
256,,article,137668213,Artificial Intelligence,0,1.5.4,2.6,5,,,5,,,,5,1666765806,1666712712,1672531200,7,0,7,0,1225
257,,article,137688280,Medical Image Analysis,0,1.5.4,0.25,1,,,1,,,,1,1666760970,1666760983,1672531200,22,0,22,0,1227
258,,article,137666184,Applied & Computational Harmonic Analysis,0,1.5.4,3.0,4,,,4,,,,4,1681307052,1666708391,1672531200,27,0,29,0,1228
259,,article,140957058,Energy and AI,0,1.5.4,0.5,1,,,1,,,,1,1673158596,1673158608,1672531200,17,0,17,0,1234
260,,article,137654368,Medical Image Analysis,0,1.5.4,0.25,1,,,1,,,,1,1666680296,1666680308,1672531200,21,0,23,0,1235
261,,article,128293340,Computer Methods in Applied Mechanics & Engineering,0,1.5.4,0.75,2,,,2,,,,2,1654268704,1652661046,1672531200,14,0,14,0,1237
262,,article,137616872,Biosensors & Bioelectronics,0,1.5.4,5.95,10,,,10,,,,10,1669424953,1666600738,1672531200,108,0,108,0,1238
263,,article,137466623,Medical Image Analysis,0,1.5.4,5.1,8,,,8,,,,8,1694046386,1666265814,1672531200,38,0,38,0,1240
264,,article,135952468,IISE Transactions,0,1.5.4,0.25,1,,,1,,,,1,1654444472,1663218017,1653264000,37,0,37,0,1246
265,,article,143405552,Environmental Monitoring and Assessment,0,1.5.4,1.0,1,,,1,,,,1,1678273022,1678280098,1666310400,11,0,11,0,1259
266,,article,137584967,Biosensors & Bioelectronics,0,1.5.4,0.25,1,,,1,,,,1,1666501860,1666501873,1672531200,38,0,38,0,1265
267,,chapter,144974002,Methods in molecular biology,0,1.5.4,8.65,19,,,16,,,,16,1690406060,1680655646,1672531200,19,0,19,0,1275
268,,chapter,137233395,Methods in molecular biology,0,1.5.4,2.95,6,,,6,,,,6,1666145013,1665763387,1665705600,11,0,11,0,1278
269,,chapter,144973991,Methods in molecular biology,0,1.5.4,0.5,2,,,2,,,,2,1665684592,1680655639,1672531200,18,0,18,0,1279
270,,chapter,137233398,,0,1.5.4,2.0,4,,,4,,,,4,1666227415,1665763390,1665705600,3,0,3,0,1280
271,,article,138361670,Neurocomputing,0,1.5.4,1.5,3,,,3,,,,3,1668331464,1668284296,1672531200,17,0,17,0,1282
272,,article,136911728,Medical Image Analysis,0,1.5.4,1.0,2,,,2,,,,2,1666172444,1665197802,1672531200,10,0,10,0,1284
273,,article,137249168,Research Policy,0,1.5.4,30.35,39,,1,35,,,,36,1692576000,1665798308,1672531200,124,0,124,0,1286
274,,article,137733198,Engineering Applications of Artificial Intelligence,0,1.5.4,1.5,2,,,2,,,,2,1666848047,1666847974,1672531200,12,0,12,0,1288
275,,article,137385527,Computers & Geosciences,0,1.5.4,3.85,12,,,6,,,,6,1666862155,1666178318,1672531200,59,0,59,0,1290
276,,article,137503077,Solar Energy Materials & Solar Cells,0,1.5.4,5.5,9,,,7,,,,7,1681933714,1666315610,1672531200,18,0,18,0,1291
277,,article,136970191,Energy and AI,0,1.5.4,8.5,13,,,13,,,,13,1682161200,1665395018,1672531200,20,0,20,0,1295
278,,article,140703178,"Resources, Conservation & Recycling",0,1.5.4,0.5,1,,,1,,,,1,1672568125,1672568136,1672531200,38,0,38,0,1296
279,,article,122873736,Nuclear Instruments & Methods in Physics Research Section A,0,1.5.4,1.25,3,,,3,,,,3,1688767805,1644543976,1672531200,5,0,5,0,1299
280,,article,136650987,Journal of Molecular Graphics & Modelling,0,1.5.4,1.5,3,,,3,,,,3,1666317782,1664555423,1672531200,19,0,19,0,1300
281,,chapter,144973995,Methods in molecular biology,0,1.5.4,2.0,4,,,4,,,,4,1665712655,1680655641,1672531200,8,0,8,0,1307
282,,chapter,137233406,,0,1.5.4,10.55,23,,,23,,,,23,1673615693,1665763393,1665705600,10,0,10,0,1308
283,,article,137598509,Journal of the Mechanics & Physics of Solids,0,1.5.4,1.85,3,,,2,,,,2,1685804964,1666547462,1672531200,18,0,18,0,1312
284,,article,137314622,Journal of Systems & Software,0,1.5.4,1.5,2,,,2,,,,2,1666026090,1666018770,1672531200,16,0,16,0,1319
285,,article,137368507,Geophysics,0,1.5.4,0.75,2,,,2,,,,2,1666130563,1666130495,1664755200,10,0,10,0,1339
286,,article,136996523,Applied Ergonomics,0,1.5.4,1.25,2,,,2,,,,2,1665774480,1665467416,1672531200,16,0,16,0,1343
287,,article,137002665,Journal of Affective Disorders,0,1.5.4,1.85,2,,,2,,,,2,1665498188,1665483876,1672531200,42,0,42,0,1344
288,,article,136941185,Environmental Research,0,1.5.4,1.0,1,,,1,,,,1,1665291887,1665291899,1672531200,8,0,8,0,1346
289,,chapter,136654789,Methods in molecular biology,0,1.5.4,7.0,1,1,,,,,,1,1678147200,1664560043,1664582400,13,0,13,0,1354
290,,chapter,144967896,,0,1.5.4,1.6,3,,,3,,,,3,1664735083,1680653499,1672531200,22,0,22,0,1365
291,,chapter,130769452,arXiv,0,1.5.4,3.25,8,,,8,,,,8,1684316823,1657156064,1672531200,10,0,10,0,1372
292,,article,138123454,Information & Software Technology,0,1.5.4,0.5,1,,,1,,,,1,1667742900,1667742911,1672531200,59,0,59,0,1380
293,,article,136741310,Chemical Physics,0,1.5.4,0.25,1,,,1,,,,1,1664814603,1664814615,1672531200,9,0,9,0,1387
294,,article,137059071,Sensors & Actuators B: Chemical,0,1.5.4,91.224,14,11,,,,,,14,1668983100,1665565550,1672531200,26,0,26,0,1391
