id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
157,,article,80616298,Bordón,0,1.5.4,16.25,9,1,,8,,,,9,1703241526,1587960330,1576800000,30,0,30,0,976
158,,article,91344521,Annals of Plastic Surgery,0,1.5.4,0.5,2,,,1,1,,,2,1601294822,1601294867,1560988800,17,0,17,0,981
159,,article,80178387,Health Policy and Technology,0,1.5.4,0.5,2,,,1,,,,1,1588009832,1587404986,1598918400,19,0,19,0,987
160,,article,89616792,IEEE Transactions on Software Engineering,0,1.5.4,2.0,3,,,3,,,,3,1627074319,1599496503,1559520000,65,0,65,0,1003
161,,article,114232823,Nicotine & Tobacco Research,0,1.5.4,22.68,35,,,23,,,,24,1708029351,1632937335,1632528000,27,0,27,0,1019
162,,article,29892253,Facial Plastic Surgery,0,1.5.4,0.25,1,,,1,,,,1,1512219906,1512219920,1512086400,38,0,38,0,1026
163,,article,10707666,Internal Medicine Journal,0,1.5.4,1.0,3,,,2,1,,,3,1503662464,1471636627,1478131200,45,0,45,0,1034
164,,article,102984696,Data & Knowledge Engineering,0,1.5.4,1.5,2,,,2,,,,2,1617170609,1617087553,1619827200,66,0,66,0,1046
165,,book,70989854,,0,1.5.4,22.05,31,,,26,,,,26,1611985213,1574407059,1570406400,152,0,152,0,1053
166,,article,120294586,PeerJ Computer Science,0,1.5.4,6.45,11,,,11,,,,11,1649263191,1641423303,1641340800,29,0,29,0,1057
167,,article,35386399,,0,1.5.4,6.0,2,,,,,,1,2,1418731852,1522884439,1159660800,42,0,42,0,1059
168,,article,61888968,Currents in Pharmacy Teaching & Learning,0,1.5.4,1.25,2,,,2,,,,2,1600165472,1560258977,1559692800,32,0,32,0,1063
169,,article,10726638,,0,1.5.4,1.5,3,,,3,,,,3,1471710544,1471710378,1472083200,41,0,41,0,1068
170,,article,13162444,Journal on Educational Resources in Computing,0,1.5.4,1.0,1,,,1,,,,1,1477833310,1477833323,1078099200,29,2,27,0,1086
171,,article,1388875,,0,1.5.4,1.85,2,,,2,,,,2,1366056577,1366050323,1365897600,20,0,20,0,1087
172,,article,33972634,Electronic Proceedings in Theoretical Computer Science,0,1.5.4,2.75,9,,,7,1,,,8,1530272464,1520301254,1519948800,6,0,6,0,1126
173,,article,108245750,Implementation Science Communications,0,1.5.4,19.65,39,,,34,,,,34,1651092485,1624759094,1624665600,83,0,83,0,1134
174,,book,28736594,,0,1.5.4,3.0,4,,,,,,,4,1648998546,1510343913,1358380800,50,0,50,0,1139
175,,article,54441068,Journal of Pelvic Surgery,0,1.5.4,3.75,3,,,1,1,,,3,1692745878,1548348890,1546300800,21,0,21,0,1141
176,,book,52980838,,0,1.5.4,106.85,127,1,,119,2,,,123,1708627376,1545377638,1548633600,247,0,247,0,1161
177,,article,96786294,Data in Brief,0,1.5.4,0.25,1,,,1,,,,1,1609226702,1609226720,1607385600,12,0,12,0,1163
178,,book,30953330,,0,1.5.4,4.5,4,,,1,,,,3,1704697182,1514348298,1511740800,62,0,62,0,1174
179,,article,85197806,,0,1.5.4,3.0,2,,,,,,,2,1707650691,1593819259,1556668800,31,0,31,0,1181
180,,article,24021884,Endocrine Practice,0,1.5.4,1.25,6,,,4,1,,,5,1514698923,1503052278,1502928000,40,0,40,0,1198
181,,article,136344417,Reumatismo - The Italian Journal of Rheumatology,0,1.5.4,14.33,3,1,,1,,,,3,1677414216,1663987451,1663027200,5,0,5,0,1202
182,,chapter,40395117,,0,1.5.4,0.5,2,,,1,,,,1,1662008844,1525187974,1338768000,15,0,15,0,1224
183,,article,159545767,,0,1.5.4,7.0,1,1,,,,,,1,1707960601,1707998539,1459468800,0,0,0,0,1252
184,,article,88873067,Clinical Neurology & Neurosurgery,0,1.5.4,3.35,7,,,5,,,,5,1598814423,1598391570,1598054400,28,0,28,0,1265
185,,article,132859017,PeerJ,0,1.5.4,1.5,5,,,4,1,,,5,1658833904,1658318447,1658275200,19,0,19,0,1266
186,,article,30171015,,0,1.5.4,0.25,1,,,,1,,,1,1390816321,1512742947,1333238400,12,0,12,0,1269
187,,article,123952975,Software: Practice & Experience,0,1.5.4,1.0,1,,,1,,,,1,1646266277,1646266288,1525392000,16,0,16,0,1274
188,,article,74810623,Middle School Journal,0,1.5.4,3.0,6,,,6,,,,6,1602957684,1580505611,1519862400,32,0,32,0,1293
189,,article,51082799,,0,1.5.4,1.0,1,,,1,,,,1,1542015844,1542015859,1541289600,29,0,29,0,1297
190,,book,36084121,,0,1.5.4,1.0,1,,,1,,,,1,1544980660,1523297970,1474675200,4,0,4,0,1312
191,,article,95177952,Information,0,1.5.4,1.75,5,,,4,,,,4,1607056200,1606744368,1605484800,48,0,48,0,1325
192,,article,102688526,Empirical Software Engineering,0,1.5.4,51.4,13,6,,7,,,,13,1650625183,1616639044,1616198400,35,0,35,0,1361
193,,article,90374173,Journal of Cancer Education,0,1.5.4,0.25,1,,,1,,,,1,1600269768,1600270682,1597449600,19,0,19,0,1364
194,,article,93007288,BMJ Paediatrics Open,0,1.5.4,0.25,1,,,1,,,,1,1603570532,1603570547,1603152000,12,0,12,0,1366
195,,article,3901112,Current Drug Safety,0,1.5.4,3.95,6,,,6,,,,6,1684848627,1428869380,1420070400,26,0,26,0,1380
196,,article,51468148,,0,1.5.4,1.0,1,,,1,,,,1,1542731884,1542731898,1443657600,49,0,49,0,1398
197,,article,140493752,Programming and Computer Software,0,1.5.4,1.0,1,,,1,,,,1,1671846670,1671846681,1671580800,14,0,14,0,1447
198,,article,51602335,,0,1.5.4,1.0,1,,,1,,,,1,1542977385,1542977400,1542844800,17,0,17,0,1461
199,,article,59046083,Journal of Pelvic Surgery,0,1.5.4,1.25,3,,,2,1,,,3,1561904585,1555330747,1551398400,32,0,32,0,1480
200,,article,59443256,Cleft Palate Craniofacial Journal,0,1.5.4,0.5,1,,,1,,,,1,1556105418,1556105431,1554336000,16,0,16,0,1488
201,,article,4070123,Research Ethics,0,1.5.4,5.4,8,,,8,,,,8,1458579032,1432893741,1432684800,26,0,26,0,1528
202,,article,18723411,IEEE Software,0,1.5.4,3.0,8,,,5,,,,5,1492004312,1491910038,1490659200,63,0,63,0,1549
203,,article,129310732,,0,1.5.4,1.0,2,,,1,,,,1,1656189028,1654411373,1629676800,3,0,3,0,1576
204,,article,137835444,IEEE Transactions on Software Engineering,0,1.5.4,1.0,1,,,1,,,,1,1667035148,1667035160,1601251200,36,0,36,0,1577
205,,article,113498760,Journal of Breast Imaging,0,1.5.4,0.5,1,,,1,,,,1,1631725216,1631725231,1628553600,5,0,5,0,1613
206,,article,84462916,Clinical Simulation in Nursing,0,1.5.4,2.35,4,,,3,,,,3,1618173358,1592808229,1606780800,31,0,31,0,1626
207,,article,120186315,Journal of Medical Internet Research,0,1.5.4,5.05,9,,,8,1,,,9,1650704147,1641242710,1650412800,36,0,36,0,1629
208,,article,134054194,Australian & New Zealand Journal of Surgery,0,1.5.4,0.25,1,,,1,,,,1,1665687585,1660417665,1659916800,7,0,7,0,1644
209,,article,148193163,,0,1.5.4,3.0,1,,,,,,,1,1683799645,1683799650,1529366400,27,0,27,0,1661
210,,article,1497476,Journal of Asthma & Allergy Educators,0,1.5.4,11.426,17,,,9,,,,11,1411221365,1369167357,1365724800,13,0,13,0,1708
211,,article,87154555,,0,1.5.4,1.0,1,,,1,,,,1,1596563210,1596567995,1539129600,8,0,8,0,1749
